ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method
MSS-0006,Soft & Creamy Cleansing Powder Wash 3:7,(주)케미랜드,(주)케미랜드,무작위,원료실
MSS-0007,SJC-ClearSol E,CJ chem,(주)블루켐,무작위,원료실
MSS-0008,Soft & Creamy Cleansing Powder Wash (without SP)(3:7)(녹차2%),(주)케미랜드,(주)케미랜드,무작위,원료실
MSS-0009,SeraSol SC 85 (SM3310P),(주)케이씨씨실리콘,(주)미산캠프인터내셔널,무작위,원료실
MSS-0010,SeraSol SC 83-A (SM3330P),(주)케이씨씨실리콘,(주)미산캠프인터내셔널,무작위,원료실
MST-0001,Rheodol TW-S120 (Tween 60),Kao Corporation,미성코스메틱(주),무작위,원료실
MST-0002,Rheodol TW-O120 (Tween 80),Kao Corporation,미성코스메틱(주),무작위,원료실
MST-0004,Tego care 450,Evonik,에스앤디랩,무작위,원료실
MSX-0001,Xalifin 15 NP,Vevy Europe S.p.A.,㈜지코,무작위,원료실
MUA-0001,Benzophenone-3,HANGZHOU LINGEBA,(주)케이원씨앤씨,무작위,원료실
MUC-0001,Choicetitan 45AZ,ICID,(주)초이스엔텍,무작위,원료실
MUC-0002,Choicezinc 65AS,ICID,(주)초이스엔텍,무작위,원료실
MUM-0001,Misorb BPS-9,미원상사,미원상사,무작위,원료실
MUN-0002,Neo Heliopan E 1000,Degussa,(주)노바켐,무작위,원료실
MUO-0001,Optisol AS,Oxonica,한주씨앤씨,무작위,원료실
MUP-0002,Parsol MCX,DSM,세로켐,무작위,원료실
MUP-0003,Parsol 5000,DSM,세로켐,무작위,원료실
MUP-0004,Hyshell EHS,Yidu Huayang Chemical,(주)초이스엔텍,무작위,원료실
MUP-0005,Galsorb Octocrylene,DSM,(주)나노젠,무작위,원료실
MUT-0001,BEMT-S [(=Tinosorb S)],Ciba,케이에스켐,무작위,원료실
MUT-0002,Tego Sun Tdec 45,Evonik,에스앤디랩,무작위,원료실
MUZ-0001,Zinclear_40AB,"Advanced 
Nano Tech ",제이피켐,무작위,원료실
MUZ-0002,Zano 10,Umicore,케미랜드,무작위,원료실
MV6-0001,Bentonite NF BC-670,BRENNTAG,㈜블루켐,무작위,원료실
MVA-0005,Aristoflex AVC,CLARIANT,인코스㈜,무작위,원료실
MVA-0006,Cabopol Aqua SF-1,Lubrizol,(주)블루켐,무작위,원료실
MVA-0007,Adekanol GT-730,hanskorea,㈜블루켐,무작위,원료실
MVA-0008,Aristoflex BLV,CLARIANT,인코스㈜,무작위,원료실
MVA-0009,Aronvis MX,TOAGOSEI,(주)미산캠프인터내셔널,무작위,원료실
MVB-0001,Bio Sodium Hyaluronate,Conntipro,하나무역,무작위,원료실
