id,ingredient_code,component_order,inci_name_en,inci_name_kr,cas_number,composition_ratio,function,country_of_origin,created_at
10e4a118-c9c5-4a43-b59c-da47c5497ef1,MAT-0013,3,Ethylhexylglycerin,에틸헥실글리세린,70445-33-9,0.1000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
10fc216e-afeb-486e-a462-8772a1502906,MFS-0090,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:18.006524+00
110345aa-78ca-49ab-af4a-88c4b9bcc63e,MAL-0018,1,Water,정제수,7732-18-5,50.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
114584bd-9e74-4d14-b564-64f73c89c617,MFS-0100,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:18.006524+00
11718620-37a7-4fa3-800c-b8de2b10eb77,MFL-0010,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:16.589765+00
1198fc67-0641-40f2-8a6d-2369f3bae4a1,MKU-0002,1,PEG/PPG-17/6 Copolymer,피이지/피피지-17/6코폴리머,9003-11-6 (Generic),100.0000,Solvent,,2026-01-28 16:37:18.006524+00
11a68873-fe85-47c2-9707-37c880b674cb,MXM-0005,2,Water,정제수,7732-18-5,0.0000,Emulsion Stabilizer,,2026-01-28 16:37:18.006524+00
11e68d2a-373e-4762-9c86-c3564494a38f,MAP-0019,3,Portulaca Oleracea Extract,쇠비름추출물,90083-07-1,1.0000,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
11f5609a-a643-4d75-9450-310407ea2c7b,MFP-0030,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:18.006524+00
11f92f55-e168-42e4-958e-f4217732af00,MOD-0012,1,Dimethicone,다이메티콘,9006-65-9,60.0000,"Hair Conditioning Agent, Skin Conditioning Agent",대한민국,2026-01-28 16:37:18.006524+00
