id,allergen_name,inci_name,cas_no
09c39519-b6ea-45e8-a5fe-e2451b90fad5,※ 아트라놀 (CAS No 526-37-4)과 클로로아트라놀 (CAS No 57074-21-2)은 참나무이끼추출물(CAS No 90028-68-5)과 나무이끼추출물(CAS No 90028-67-4)의 구성성분이다.,※ 아트라놀 (CAS No 526-37-4)과 클로로아트라놀 (CAS No 57074-21-2)은 참나무이끼추출물(CAS No 90028-68-5)과 나무이끼추출물(CAS No 90028-67-4)의 구성성분이다.,
35919e2d-6550-41e5-840b-38f0a513d49c,Citral,Citral,5392-40-5 106-26-3 141-27-5
cc798206-5638-43d5-9d77-35ad422561ce,Acetyl cedrene,Acetyl cedrene,32388-55-9
18e17f4c-da67-4ba1-91ae-f785868b4d59,6-Methyl coumarin,6-Methyl coumarin,92-48-8
db3412dc-9501-4c54-bfc5-0d9f4398c823,Anethole,Anethole,4180-23-8
49ef6042-7957-437c-be56-736b1bab1458,Camphor,Camphor,76-22-2
43530b90-1382-41e9-af49-bf8f1763f2d3,Cananga Odorata Oil/Extract,Cananga Odorata Oil/Extract,8006-81-3
8fa6d187-ab03-4f74-a4fb-af0e8515c148,Carvone,Carvone,99-49-0
895708ef-cace-453d-8301-02a678adc015,Cedrus Atlantica Oil/ Extract,Cedrus Atlantica Oil/ Extract,8023-85-6
6b95eaf1-791b-4d68-acd8-601620a2a557,Cinnamomum Cassia Leaf Oil,Cinnamomum Cassia Leaf Oil,8007-80-5
ca87d7b4-3eba-428e-9c07-392bdc221471,Cinnamomum Zeylanicum Bark Oil,Cinnamomum Zeylanicum Bark Oil,8015-91-6
55edb008-380a-4407-922a-adb32310a68d,Citrus Aurantium Bergamia Peel Oil,Citrus Aurantium Bergamia Peel Oil,8007-75-8
62ae2394-a4bf-441d-ab5e-7dcc6b548232,Citrus Aurantium Flower Oil,Citrus Aurantium Flower Oil,8016-38-4
a272c185-65f3-4212-ae97-b6046aea44fc,Citrus Aurantium Peel Oil,Citrus Aurantium Peel Oil,8028-48-6
e1261cbf-20a1-4615-9f70-737b634cbda4,Citrus Limon Peel Oil,Citrus Limon Peel Oil,8008-56-8
d7bab2d7-12f0-45b7-a72b-7d86631b7b9a,Eucalyptus Globulus Oil,Eucalyptus Globulus Oil,8000-48-4
7c24dbc5-5f3d-4809-9e3b-5990ae240531,Eugenia Caryophyllus Oil,Eugenia Caryophyllus Oil,8000-34-8
a3a7c663-c263-4eb9-bc35-5c5a7c523d1e,Eugenyl acetate,Eugenyl acetate,93-28-7
98741fbc-8bb7-4c03-8ae7-db31614c19cb,Geranyl acetate,Geranyl acetate,105-87-3
bede73b4-e76a-4961-8adf-cd0b0d17c74a,Isoeugenyl acetate,Isoeugenyl acetate,93-29-8
d84af1c7-182d-4a31-8c48-90af9c0f7e9e,Jasmine Oil/Extract,Jasmine Oil/Extract,8022-96-6
1fcec231-888f-4f2e-a190-f1cdef6bf959,Juniperus Virginiana Oil,Juniperus Virginiana Oil,8000-27-9
2b16c032-2dca-48c5-a095-389d978a83d6,Laurus Nobilis Leaf Oil,Laurus Nobilis Leaf Oil,8002-41-3
540211bf-48e4-4d50-80ad-587fdc1f478d,Lemongrass Oil,Lemongrass Oil,8007-02-1
42a7cb1f-da95-4b7f-90c0-293a3b72f600,Lippia citriodora absolute,Lippia citriodora absolute,8024-12-2
dc72bd3a-b01c-457e-9d8d-c45dda7b155f,Mentha Piperita Oil,Mentha Piperita Oil,8006-90-4
489c477f-beae-4b9d-9cfe-7ac7f8156d96,Mentha Viridis Leaf Oil,Mentha Viridis Leaf Oil,8008-79-5
1b649814-2aa9-4494-bb39-d06a97fda3fc,Menthol,Menthol,2216-51-5
97888fcf-662a-417a-b513-4389e8373450,Methyl salicylate,Methyl salicylate,119-36-8
1dae7a0b-ae84-4cf7-9753-e2b58fd4186e,Myroxylon Pereirae Oil/ Extract,Myroxylon Pereirae Oil/ Extract,8007-00-9
78ff8495-4dba-4a87-bfa6-5f8d51cad144,Narcissus Extract,Narcissus Extract,68917-12-4
849e2e3b-2a5d-4555-9ba7-09cb1cbf062d,Pelargonium Graveolens Flower Oil,Pelargonium Graveolens Flower Oil,8000-46-2
e27dc611-f0bd-448a-9c78-1a63f05fd935,Pinene,Pinene,80-56-8 127-91-3
432e92a1-ea4c-42d1-9293-c40e7bddb791,Pinus Mugo,Pinus Mugo,90082-72-7
e852ae27-4063-40ea-a766-49d34b73f640,Pinus Pumila,Pinus Pumila,97676-05-6
77983db5-2b9e-4013-9098-09050a33317e,Pogostemon Cablin Oil,Pogostemon Cablin Oil,8014-09-3
f6f8e09a-8bbf-42b1-b37a-1ac69733ef9d,Rose Flower Oil/Extract,Rose Flower Oil/Extract,8007-01-0
57ebdddc-4b69-463d-95da-f6a235db6261,Santalol,Santalol,11031-45-1
23583fb8-1c40-4674-b55e-f6c169e33809,Santalum Album Oil,Santalum Album Oil,8006-87-9
842ae84b-a1cb-4e01-a60e-752f7d56ee5e,Terpineol,Terpineol,8000-41-7
